PT-03 | a1d50c97caa071d165c1fef992d6a0082966d835 -> f13cccc978427327f8fcbcc4d6d256729bee18bc | PT-03: isolate governance mutations; preserve caller bytes and index | integrated-targeted-evidence
INV-DOC-01 | 43f1d7ef099a538fd818be772080f43b6556d6f3 -> c43eb77ca03c1316a1becc11e7be3ecac8e55c30 | INV-DOC-01: 纠正两处repair kind拼写；44处参数经当前Go前置判据与双变异验证 | integrated-targeted-evidence
OPS-04 | 4b02255e480e3bdc34994145b1ba9fbbf6762013 -> a0b9881cd51436378f56991dd968d575e606a235 | OPS-04: retain production override in real connector restart cards; verify doc regression and mutations | integrated-targeted-evidence
PDOC-03 | e49d5490a6bbbb4d1032f73ced4bebe1d31ec5c8 -> dfde38bb8179588bc8505c891519ea755d118a72 | PDOC-03: reject DEPLOY0 port mismatch before promotion; verify doc regression and mutations | integrated-targeted-evidence
POP-07 | 5cc868a4c71434a11f71027449b91cfb0d7ece61 -> 9385e2043162fa408d73cfdca22ee39b70e2ce29 | POP-07: select smoke checks from parsed auth mode and existing defaults — verify red, green and killed mutation | integrated-targeted-evidence
POP-08 | f99d90d1f64b86b263fc0235ccd77e0d9d2df9fc -> d7b3768b101231a67f1d7045b2587e6b82cf4267 | POP-08: resolve default Git executable before system-path admission — verify red, green and killed mutation | integrated-targeted-evidence
PT-02 | d5b9ad06549fb7a56ee7bdd8cee486aca2225f7c -> bf40dc6b25decc195a2211c21461ff28cb4a0dc1 | fix(PT-02): hash full worktree paths for isolated test database names | integrated-targeted-evidence
RUNEARLY-01 | 8c753bc05cb500015caa97b078aa15eb3f11df33 -> a045a76243be10c6944008c393bfa445973aa122 | RUNEARLY-01: 修正手册验签参数与原始stdin传递；边界回归及6项变异验证通过 | integrated-targeted-evidence
RUNEARLY-02 | fca9433845752fe87c4a357d0c04c20b43e0f210 -> b2aca068fa4d64ecaeb9ee2d0dd92df00aec074c | RUNEARLY-02: 统一手册release级env路径与前置守卫；17个Compose调用及逐处路径变异验证 | integrated-targeted-evidence
TRIVY-01 | e50f8ec42abaa958a87321639e220fabe1c3b229 -> dba5ea622a389632bfbc121b9d22f8771ca579bf | fix(TRIVY-01): bind resumable parts to blob identity and retain rejected attempts for safe retries | integrated-targeted-evidence
TRIVY-04 | 385825e037d1fb34579d1c5c3ddfea280ac01189 -> 5c0e1dd16152a73949672c4b624964de6a73c17d | fix(TRIVY-04): accept explicit immutable tagged image defaults while rejecting mutable references | integrated-targeted-evidence
AGT-TEST-001 | 00b76d3a32ffa075c942dd197bc8a3f5ae2f757f -> c7b50c60b3b57d8036c18396ee244ef627359d92 | AGT-TEST-001: seed and preserve full published sequence history; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
AGT-TEST-002 | dc0ae55a6b5e6bc5710ac40d58b23c5f07077d3c -> 31613e09e90f3d6c7aa80b562a12df550c644972 | AGT-TEST-002: assert durable inventory and phase after partial scans; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
AGT-TEST-003 | 66b37d6ba84e75f0e5ecfa5782aefeacfa757f01 -> 2493a55f296ccacf64e8893acd1d469fcb69c9a6 | AGT-TEST-003: separate invalid key ID from aliased output fixtures; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
CONTRACT-AUTH-01 | 06a1e1b6b4298166cb0b7fd42db27899bc4b0455 -> 74d399987668a8cc226494699c6de7ce906e344a | fix(CONTRACT-AUTH-01): replace self-referential wire oracle; prove field and constant mutants fail | integrated-targeted-evidence
F-PT-WEB-01 | dd7fc9b78ae19a330b0fec70f4a633a7045f001a -> a6a4407b84a672e1088a811006ab450b464d64a3 | F-PT-WEB-01: observe issued assertion and refresh wiring in parent component tests | integrated-targeted-evidence
F-PT-WEB-02 | d379087cbfaaf86e4946785fec1c30a103aee1f0 -> 569bfda3e34b02181c28bf611088debf60946cf1 | F-PT-WEB-02: provide competing Vite origin in runtime-only source tests; reject fallback mutants | integrated-targeted-evidence
F1 | 9828928d678fdfb6e5856811be68090e2c8a475b -> 761c91f31c3f16e19626d0262c662fe32a70c94f | fix(F1): reject internal Git input roots; verify 18 cases and mutations | integrated-targeted-evidence
F2 | 2097f84093a4477ca8ae3b51b82fb7aef4880061 -> 2097f84093a4477ca8ae3b51b82fb7aef4880061 | F2: explicitly inspect untracked invoice and pinned files despite Git configuration; preserve project scope | integrated-targeted-evidence
F3 | f58c7ed9f28eef099ffab137513a821b35119fa6 -> 152360f78dbddc2df35c80129f728eea9f5ed48e | F3: reject wrong-branch dry runs and report actual branch — verify red, green and killed mutation | integrated-targeted-evidence
HYG-01 | f27d9a52256d10a8c9c1130705ca1c2fdca75b98 -> 29f72160963fd77ddd02b89a5ee25bab06318c1f | HYG-01: route permanent instructions to the current monorepo; verify doc regression and mutations | integrated-targeted-evidence
IDEP-005 | 080daff32db70729f8403b1cf0fecb56356337d6 -> 4586b954ead888d68c1e6238c9ddd771e14f9197 | fix(IDEP-005): reject shadow native-status mismatch; test orchestrator verdict exits | integrated-targeted-evidence
IDEP-006 | e6e79884fda56b60f71f879342240121c291b2d5 -> 8fb5968ab77e630a029bb56a31f9543369d6274d | fix(IDEP-006): verify resource absence after inspect errors; test denied queries | integrated-targeted-evidence
IDEP-007 | a9ea8905b4f5cd4f1c7abc5896fe80348463b0b1 -> 9ac7d91930d114167476b19f10d8a03371395f12 | fix(IDEP-007): propagate proxy restart failures; test recovery exits | integrated-targeted-evidence
INT-TEST-02 | 9c16f87dbd70f575dbb2da7ba0e748e6072fbbfb -> 86279894c7c5deb58b85db98bbbe2e50e726353c | INT-TEST-02: isolate strict JSON keyfile rejection fixtures; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
INT-TEST-03 | dc35e6190fd99877db0d8f64d8181f6816eff181 -> 22eff546ea17c904fb155863dc5350fa9091b0e3 | INT-TEST-03: exercise traversal against a real sandbox sibling; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
INV-AUX-003 | 080f18e9091c121258d4f0526ac187e73ef11b77 -> ab3332db309642d7bccd2171437a8d6500afb21b | INV-AUX-003: propagate secret and DB capture errors; prove 16 cases and 17 mutations | integrated-targeted-evidence
INV-AUX-004 | b3a4dbea8bde9b1933227e9caa7c26ce7d12f24b -> 15f5fbcab0d20dd1d44b1238c04e93ba133bbd03 | INV-AUX-004: reject failed collection producers; verify spool/member controls and six mutations | integrated-targeted-evidence
INV-AUX-005 | 77dd8cbacb1a4ced46c2a97989a6d91e607cd735 -> 33751067eba2c8c1c8781b000f8730c813cf634d | fix(INV-AUX-005): fail explicitly on nonregular paths; mutate every file guard | integrated-targeted-evidence
INV-AUX-006 | 6e2514199b440575b7bc61bda45c3ff5fb5ec4e9 -> ddfd603fb82b89d3142775a20f6afa16e9a253d5 | INV-AUX-006: reject unbound ACK content; verify consumer cases and six predicate mutations | integrated-targeted-evidence
INV-AUX-007 | ba676c6d27494a3175c7fb84a55ea2ecfd317213 -> 61b59850d91421a3c38239849d5e8e4e0e201c52 | INV-AUX-007: 纠正管理员维护为历史RC38-only；文档身份通过原守卫及双变异验证 | integrated-targeted-evidence
INV-DOC-03 | 571bd8e6927b2d2ea77022234d6569a0ece1f179 -> ec2ac2aadb233ae3948cd188418487128e76cb7c | INV-DOC-03: 将blocked事件处置对齐先审核acknowledge再正常解冻；顺序契约与7项变异验证 | integrated-targeted-evidence
INV-DOC-04 | 38413ad33c0442dd785632dacfd69b26d5344a3e -> a1b2cb5a25cfb731e69afcfdfcb29847a8463688 | INV-DOC-04: 影子评估模板对齐既有候选镜像加载后部署前顺序；依赖检查与5项变异通过 | integrated-targeted-evidence
INV-PG-001 | 67254cc68d192efbf374269ddd74203a3272b9c1 -> 51c27671fb7b91a8cee58f5e47da2da9b6976756 | INV-PG-001: propagate finalizer evidence failures; verify nine cases and ten mutations | integrated-targeted-evidence
INV-PG-002 | b70d11f0b2e2b7a926194a9fd6b1a70824babf63 -> 27440a650ad59df80131ae772d1cda70652a385e | INV-PG-002: parse every shell operand; verify all four gates and 46 per-case mutations | integrated-targeted-evidence
INV-PG-003 | e4e5839cfebb16ea1aae24975caae8842bfe7d09 -> ab239c57f90c3c337cd7d375f4f12616a3af8ca9 | INV-PG-003: exercise readiness plan predicate; reject bypass and four behavioral mutations | integrated-targeted-evidence
INV-WIRE-01 | f1153638f5ca98a4f83cd9e410e4b6ba93ace6dc -> 7989ce7ff56de1eaef1b2327f07fb8abf271f569 | test(INV-WIRE-01): validate published examples against offline schemas; reject event and reference drift | integrated-targeted-evidence
INV-WIRE-02 | f81516f3a0833acb6d8fae3141ba0aa965a39000 -> 8e1d335238ddc87ff649832ef2c2ba73016fdc41 | fix(INV-WIRE-02): reject required JSON nulls; preserve empty batches and V2 compatibility | integrated-targeted-evidence
IT-CLI-02 | a8f8b8f1b7e4405a1c84320b4782d6b5ff3a1565 -> 3ab778d9515341d69988be1b807c668309acd06e | IT-CLI-02: propagate collected repair item failures after full reports; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
IT-CLI-03 | 3cfb34c266f94b313c8e4a0148b25ded6a0335a6 -> 0d4a021dbd586c2e1e6f00ed4ee9fceff05f7e5d | IT-CLI-03: isolate acknowledge account flag rejection from event guard; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
ITR-REG-01 | 27db1fa8232a20b93f99d88bcdfff27725e240b5 -> 704f338cae1318b56a7b6c0b49eb1026b4d608b5 | fix(ITR-REG-01): fail closed on task lookup errors and create only after established absence | integrated-targeted-evidence
ITR-REG-02 | 22749bb581a9ec22ae989e987a373e87123ffce6 -> 073e7e08a75f9df880f59e70e0a3203959b166d7 | fix(ITR-REG-02): execute registration wiring behind fakes so branch WhatIf and refresh-invocation regressions fail | integrated-targeted-evidence
OPS-02 | a440e22dfb8be595831442b7f8f772a7a1d92b7c -> 0343c644de199605063ca7c322f9a30114123336 | OPS-02: verify reqlog in the selected deployment container; verify doc regression and mutations | integrated-targeted-evidence
OPS-03 | 5975e2b8813e6c03f3e18e7b54b5ccfe5dd976ce -> b43217a4e616afdfc45478bfc685d9edb0d55cc0 | OPS-03: align real switching with database configuration precedence; verify doc regression and mutations | integrated-targeted-evidence
OPS-05 | 8481ebce7998a36e0855766214fbc61a3f6c5f79 -> 7ade292b9c5c6576a8a0caf383bf0c45c5cdfe3c | OPS-05: preserve shadow tool exit codes in documented invocation; verify doc regression and mutations | integrated-targeted-evidence
OPS-06 | b05cee9d79bb16aac9623a417acf8dab0fb8faae -> 70ca23e6fd1ecc2e9f1ed2f169c66033b4cd3dec | OPS-06: preserve archive env prerequisite during teardown; verify doc regression and mutations | integrated-targeted-evidence
OPS-07 | 6a3b6bc0f102e2f53f7bef976e002bb8193e1ed7 -> 1e449daf74b97b26c25a750bab80833f7d7845a1 | OPS-07: correct historical tokenmap permission prerequisite; verify doc regression and mutations | integrated-targeted-evidence
OPS-08 | 5ebf6132862637c6a1008055b9b63c1197a4e219 -> 60549c60198efa9864a53d59ff2b413c230ad4ae | OPS-08: separate tokenmap shape checks from real reader acceptance; verify doc regression and mutations | integrated-targeted-evidence
OPS-09 | 91800ca2f6fced3b16d358bc00a72882bebeea93 -> 1a718cf1c543f18594997bdda02e5879ce95dde2 | OPS-09: align capture output examples with verification paths; verify doc regression and mutations | integrated-targeted-evidence
OPS-10 | 09c557fa8428d0ed15272ed43dac4d1d311c8d1b -> 0c148f288c1cd606b04845ec612bfffb69376304 | OPS-10: require file-backed credentials for evidence capture; verify doc regression and mutations | integrated-targeted-evidence
PC-001 | bf9d3adc68857776ea6c68caa75c7876e7338dcc -> 94fac85c427b90ac8759cb5af933fd5c5b5d5af4 | test(PC-001): use valid budget before unknown-field probe; prove strict-decoder mutation fails | integrated-targeted-evidence
PC-002 | db597457b183768adf2f771a1c845cf91ae21678 -> dc2b39a56bb9d16c30b50f24512df518ae4f79bb | docs(PC-002): align three SMS principal declarations with runtime; prove each drift fails | integrated-targeted-evidence
POP-10 | 386be9fa0677485689a7aca77274ca33d644f1e8 -> c0523a9661e46047f40c39bf13a484cd7e8b8017 | POP-10: validate each normalized test-mode target before filesystem access — verify red, green and killed mutation | integrated-targeted-evidence
POP-11 | aa8e96c26969d57527291d2ebea44718008bcfa2 -> 72b1f9835d7f14e9216487a1466f96aa552f0ffe | POP-11: validate RFC3339 dates and bind psql input values — verify red, green and killed mutation | integrated-targeted-evidence
POP-12 | 093448abd75acbacc21bfa0a7f2a01431b9bdabd -> 78c123863155cb491028708329ec39bf8ce0f4f2 | POP-12: verify actual deploy order and executable installer config calls; non-CPA tests only | integrated-targeted-evidence
POP-12-CPA | - -> - | CPA专属生命周期接线测试的顺序断言不充分（本轮禁止触碰CPA） | owner-decision
POP-13 | 9ceb7a22714cf7685cbfdfb33aa9c7b7fa332169 -> 8fc9374bfb0956be668991f355bc62d3e436289a | POP-13: reach hash/confirmation/ready negative boundaries with legal controls; kill all five mutants | integrated-targeted-evidence
POP-14 | e12c2dd0dc81b794a00d32189f2000ec646dcc84 -> 07df405170ac3c3a8669c20663c5175c94c4fa13 | POP-14: assert captured notification environment is nonempty and isolated | integrated-targeted-evidence
PS-01 | 0942d541a9f00b84cc3f9f5b973e5263f934d846 -> 0942d541a9f00b84cc3f9f5b973e5263f934d846 | PS-01: scan the exact Git release file set including tracked ignored and hidden files | integrated-targeted-evidence
PS-02 | e6fa0ef7ac8934893d8ea1862de14298b2da4822 -> e6fa0ef7ac8934893d8ea1862de14298b2da4822 | PS-02: reject every undocumented scanner exit including negative Windows failures | integrated-targeted-evidence
PS-03 | dc2ad22ba219b9b1c3ba25da6de633aa52483a96 -> 5e248331fbafa25fbe22ffe1e28261c289e7a3c6 | PS-03: reject absent or malformed preflight metadata; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
PS-04 | f709bd5665a3fbe61fa8e458422d5539eb2d3c19 -> e36e785af4198b978dc5a2c98ca73da413dbc3bd | PS-04: compare the New API image tag exactly; verify RED, mutant rejection and restored GREEN | integrated-targeted-evidence
PS-05 | 5b86e4db8c8ce0f90db5cdff3e9b45cfc9567806 -> 3bf75e4c223dfb13311d7ce42ac08c92ceaa91c6 | fix(PS-05): reject release parent junctions before I/O; verify 14 cases and 20 mutations | integrated-targeted-evidence
PS-06 | c5635d15620dd5329ebf2334f18fe2e7ee4e1e62 -> c5635d15620dd5329ebf2334f18fe2e7ee4e1e62 | PS-06: include hidden files and directories in release checksum generation and verification | integrated-targeted-evidence
PT-04 | 5e7bbe3c88dcedfa7e8c4267809ca7d380c11118 -> d286d56846027cec049616fa1515a12d2698c3f5 | PT-04: protect platform-prefixed changes and Compose scanner; verify local Git diffs | integrated-targeted-evidence
PT-05 | ec2404856c5301a3de21ec47cc1b07931805faea -> b5d209470e7ff071d55fbd59b9920b764756317c | PT-05: check env wiring per service and forward existing payment defaults; kill wrong-service mutants | integrated-targeted-evidence
PT-06 | 373b655b444d6d62d52a74dabde754887b8b2438 -> 106f39a94053979ad889e2bbbd3182e9b9484c19 | PT-06: put DB role negative fixtures inside isolated root; assert semantic rejections | integrated-targeted-evidence
PT-07 | fb2facd123f692e34692a6e981557d7fcf500ac2 -> c4b5dc74a8a92c9dd72f46a19885f81ce2a8c4ae | PT-07: check native guard exits and reject zero-test runway runs; verify fake outcomes | integrated-targeted-evidence
RUNEARLY-04 | 1e8dc0492c7c1f3f9e5cf8d664d6aaefa39c063d -> 1e16dd5c1a124ddcf107620fbfff2dd63cf05a81 | RUNEARLY-04: 迁移与权限证据块遇失败即退出；16场景及12项失效变异验证 | integrated-targeted-evidence
TRIVY-02 | 3cb432e5953af8453a7b9a9e5e9ba053a68e5e48 -> 08faee3faca81dc5c970437e62ee89f148a29aa8 | fix(TRIVY-02): validate unchanged cache files and metadata and retain staging self-checks | integrated-targeted-evidence
TRIVY-03 | 2b92b3658c169e4d34bfe1c44c52a96aa86cf1db -> 32bc6376546cfdd93d30427de627449f0734b290 | fix(TRIVY-03): share a daemon and volume mutex across worktrees and release output directories | integrated-targeted-evidence
TRIVY-05 | 54ca8666daa323e78e2814c134d57ef73e68f51f -> 6293b58589419f16935c95204fda784c52f55edb | fix(TRIVY-05): preserve lock IO failures and reserve exit 75 for actual contention | integrated-targeted-evidence
CONTRACT-DOC-01 | - -> - | CR-0007/0008/0009 在同一文件保留互相冲突的当前状态 | not-selected-p2
HSC-P2-01 | - -> - | RC110 顶部状态仍是发布前初始值，与后续完成记录不一致 | not-selected-p2
IDEP-009 | - -> - | 恢复成功文案仍写 source_states=4，实际检查十个状态目录 | not-selected-p2
INV-DOC-05 | 51db3db4ace24307ad681b5848cbf5c883e8372b -> 685adfe9428cf3cc348f90dddd3eac95a9a8ac8f | INV-DOC-05: 对齐CLI错误退出码并列具体错误示例；原解析映射及9项变异验证 | integrated-targeted-evidence
PC-003 | bc1073f69bb949879312d90aff97bf594ed641cc -> 01cadbdc44319b17ba46a263e4c2ba77c3d84a46 | docs(PC-003): publish existing optional subscription fields; validate against runtime definition | integrated-targeted-evidence

Additional gate/evidence integration commits (original finding commits preserved):
854b4b2c34aa2945c3629165f92a3fd8600d3e50 | Normal audit gate wiring and F4 additional asset-type regression
4fc80c7bb3f7390d878d1168aead448df0461f49 | Scope strict-transfer verifier assertions to executable commands
7df825b5abc6b640d830b0c4c222b71df3adf5d7 | Include strings import in extracted CLI fixture
824728ee14fe3bd018d73613ee4c7c138495047e | Use local Linux permissions for two allowed POSIX test fixtures
b201754f70911b18944bab0b5de17bea5e297b66 | Resolve Git Bash for existing security regression entrypoints in cmd/bin/mingw64 layouts
